GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US48423,48423,"Smith County, Texas",77801,842,51275,991,26526,940
0500000US48425,48425,"Somervell County, Texas",3234,209,2391,222,843,202
0500000US48427,48427,"Starr County, Texas",16320,410,12136,510,4184,365
0500000US48429,48429,"Stephens County, Texas",3361,215,2653,178,708,153
0500000US48431,48431,"Sterling County, Texas",462,73,393,74,69,37
0500000US48433,48433,"Stonewall County, Texas",458,70,348,57,110,35
0500000US48435,48435,"Sutton County, Texas",1573,109,1073,128,500,121
0500000US48437,48437,"Swisher County, Texas",2602,142,1814,125,788,129
0500000US48439,48439,"Tarrant County, Texas",689921,2078,418852,3141,271069,2737
0500000US48441,48441,"Taylor County, Texas",49443,725,29152,655,20291,879
0500000US48443,48443,"Terrell County, Texas",343,77,263,69,80,44
0500000US48445,48445,"Terry County, Texas",4142,231,2894,270,1248,218
0500000US48447,48447,"Throckmorton County, Texas",712,59,520,51,192,51
0500000US48449,48449,"Titus County, Texas",10675,256,7163,344,3512,344
0500000US48451,48451,"Tom Green County, Texas",43081,610,27169,655,15912,733
0500000US48453,48453,"Travis County, Texas",447561,1720,234225,2275,213336,2382
0500000US48455,48455,"Trinity County, Texas",5934,267,4616,237,1318,193
0500000US48457,48457,"Tyler County, Texas",7312,435,6163,366,1149,248
0500000US48459,48459,"Upshur County, Texas",14061,431,10823,421,3238,377
0500000US48461,48461,"Upton County, Texas",1308,73,954,81,354,65
0500000US48463,48463,"Uvalde County, Texas",8624,353,6284,336,2340,353
0500000US48465,48465,"Val Verde County, Texas",15189,419,9592,421,5597,469
0500000US48467,48467,"Van Zandt County, Texas",19354,438,14926,448,4428,334
0500000US48469,48469,"Victoria County, Texas",32734,466,21458,581,11276,614
0500000US48471,48471,"Walker County, Texas",21294,876,11241,634,10053,685
0500000US48473,48473,"Waller County, Texas",14698,628,10084,417,4614,604
0500000US48475,48475,"Ward County, Texas",3954,156,2767,155,1187,174
0500000US48477,48477,"Washington County, Texas",12205,621,9398,477,2807,390
0500000US48479,48479,"Webb County, Texas",72379,562,45601,922,26778,890
0500000US48481,48481,"Wharton County, Texas",15224,375,10269,431,4955,510
0500000US48483,48483,"Wheeler County, Texas",2287,86,1461,114,826,100
0500000US48485,48485,"Wichita County, Texas",48528,834,29759,581,18769,847
0500000US48487,48487,"Wilbarger County, Texas",5155,228,3343,235,1812,259
0500000US48489,48489,"Willacy County, Texas",5737,182,4465,249,1272,206
0500000US48491,48491,"Williamson County, Texas",170051,1054,117210,1371,52841,1307
0500000US48493,48493,"Wilson County, Texas",15755,266,13157,310,2598,275
0500000US48495,48495,"Winkler County, Texas",2524,120,1974,125,550,131
0500000US48497,48497,"Wise County, Texas",21691,403,16642,542,5049,460
0500000US48499,48499,"Wood County, Texas",16122,404,12965,400,3157,289
0500000US48501,48501,"Yoakum County, Texas",2652,149,2054,147,598,142
0500000US48503,48503,"Young County, Texas",7066,311,5530,305,1536,252
0500000US48505,48505,"Zapata County, Texas",4457,295,3222,307,1235,264
0500000US48507,48507,"Zavala County, Texas",3536,144,2452,197,1084,189
